Title,Genre,Director
Annabelle,Horror,John R. Leonetti
Bran Nue Dae,Comedy Drama Foreign Romance,Rachel Perkins
Boyz n the Hood,Crime Drama,John Singleton
La Bamba,Drama Music,Luis Valdez
The Four Seasons,Comedy Drama Romance,Alan Alda
Dressed to Kill,Horror Mystery Thriller,Brian De Palma
The Adventures of Huck Finn,Action Adventure Drama Family,Stephen Sommers
Go,Crime Comedy Thriller,Doug Liman
Friends with Money,Comedy Drama Romance,Nicole Holofcener
The Andromeda Strain,Science Fiction Thriller,Robert Wise
Bats,Horror Thriller,Louis Morneau
Nirgendwo in Afrika,Drama,Caroline Link
Shame,Drama,Steve McQueen
Layer Cake,Drama Thriller Crime,Matthew Vaughn
The Work and the Glory II: American Zion,Drama,Sterling Van Wagenen
The East,Drama Thriller,Zal Batmanglij
A Home at the End of the World,Romance Drama,Michael Mayer
Aberdeen,Drama Comedy Foreign,Hans Petter Moland
The Messenger,Drama History,Oren Moverman
Tracker,Action Drama Thriller Adventure,Ian Sharp
Control,Drama,Anton Corbijn
The Terminator,Action Thriller Science Fiction,James Cameron
"Good bye, Lenin!",Comedy Drama Romance,Wolfgang Becker
The Damned United,Drama,Tom Hooper
The Return of the Living Dead,Comedy Horror,Dan O'Bannon
Mallrats,Romance Comedy,Kevin Smith
Grease,Romance,Randal Kleiser
Platoon,Drama War Action,Oliver Stone
Fahrenheit 9/11,Documentary,Michael Moore
Butch Cassidy and the Sundance Kid,History Drama Western Crime,George Roy Hill
Mary Poppins,Comedy Family Fantasy,Robert Stevenson
Ordinary People,Drama,Robert Redford
West Side Story,Crime Drama Music,Robert Wise
Caddyshack,Comedy,Harold Ramis
The Brothers,Comedy Drama Romance,Gary Hardwick
The Wood,Comedy Drama Romance,Rick Famuyiwa
The Usual Suspects,Drama Crime Thriller,Bryan Singer
A Nightmare on Elm Street 5: The Dream Child,Horror Thriller,Stephen Hopkins
National Lampoon’s Van Wilder,Comedy Romance,Walt Becker
The Wrestler,Drama Romance,Darren Aronofsky
Duel in the Sun,Western,King Vidor
Best in Show,Comedy,Christopher Guest
Escape from New York,Science Fiction Action,John Carpenter
School Daze,Comedy Drama,Spike Lee
Daddy Day Camp,Comedy Family,Fred Savage
一個好人,Crime Action Comedy,Sammo Hung
A Mighty Wind,Comedy Music,Christopher Guest
Mystic Pizza,Comedy Drama Romance,Donald Petrie
Sliding Doors,Comedy Drama Fantasy Romance,Peter Howitt
Tales from the Hood,Crime Horror Thriller,Rusty Cundieff
The Last King of Scotland,Drama,Kevin Macdonald
Halloween 5: The Revenge of Michael Myers,Horror Thriller,Dominique Othenin-Girard
Bernie,Comedy Crime Drama,Richard Linklater
Dolphins and Whales: Tribes of the Ocean,Documentary,Jean-Jacques Mantello
Pollock,Drama Romance,Ed Harris
200 Cigarettes,Comedy Drama Romance,Risa Bramon Garcia
The Words,Drama Thriller,Brian Klugman
Casa De Mi Padre,Comedy Western,Matt Piedmont
City Island,Drama Comedy,Raymond De Felitta
The Guard,Action Comedy Thriller Crime,John Michael McDonagh
College,Comedy,Deb Hagan
The Virgin Suicides,Drama Romance,Sofia Coppola
Little Voice,Comedy Drama,Mark Herman
Miss March,Comedy Romance,Zach Cregger
Wish I Was Here,Drama Comedy,Zach Braff
Simply Irresistible,Comedy,Mark Tarlov
Hedwig and the Angry Inch,Comedy Music,John Cameron Mitchell
Only the Strong,Action,Sheldon Lettich
Goddess of Love,Mystery Drama Thriller Horror,Jon Knautz
Shattered Glass,Drama History,Billy Ray
Novocaine,Comedy Crime Thriller,David Atkins
The Business of Strangers,Drama Thriller,Patrick Stettner
The Wild Bunch,Adventure Western,Sam Peckinpah
The Wackness,Drama,Jonathan Levine
The First Great Train Robbery,Thriller Adventure Drama Crime,Michael Crichton
Morvern Callar,Drama,Lynne Ramsay
Beastmaster 2: Through the Portal of Time,Action Adventure Fantasy Science Fiction,Sylvio Tabet
The 5th Quarter,Drama,Rick Bieber
La fleur du mal,Drama,Claude Chabrol
The Greatest,Drama,Shana Feste
Snow Flower and the Secret Fan,Drama History,Wayne Wang
Come Early Morning,Drama Romance,Joey Lauren Adams
Lucky Break,Action Comedy,Peter Cattaneo
Julia,Drama,Fred Zinnemann
"Surfer, Dude",Comedy,S.R. Bindler
Lake of Fire,Documentary,Tony Kaye
11:14,Crime Drama Thriller,Greg Marcks
Men of War,Action Thriller,Perry Lang
Don McKay,Crime Mystery Thriller,Jake Goldberger
Deadfall,Crime Drama Thriller,Stefan Ruzowitzky
A Shine of Rainbows,Drama Family,Vic Sarin
The Hit List,Action Thriller,William Kaufman
Emma,Romance Comedy Drama,Jim O'Hanlon
Videodrome,Horror Mystery Science Fiction,David Cronenberg
L'Auberge espagnole,Drama Comedy Romance,C\u00e9dric Klapisch
Song One,Drama,Kate Barker-Froyland
Oorlogswinter,Drama History War,Martin Koolhoven
Freaky Deaky,Comedy,Charles Matthau
The Train,Action Drama Thriller War,John Frankenheimer
Trade Of Innocents,Drama Thriller,Christopher Bessette
ต้มยำกุ้ง,Action Crime Drama Thriller,Prachya Pinkaew
Stiff Upper Lips,Comedy,Gary Sinyor
Bend It Like Beckham,Comedy Drama Romance,Gurinder Chadha
Sunshine State,Drama,John Sayles
Crossover,Action Adventure Drama,Preston A. Whitmore II
Khiladi 786,Action Comedy,Ashish R. Mohan
[REC]²,Thriller Horror,Jaume Balaguer\u00f3
Standing Ovation,Comedy Music Family,Stewart Raffill
The Sting,Comedy Crime Drama,George Roy Hill
Chariots of Fire,Drama History,Hugh Hudson
Diary of a Mad Black Woman,Comedy Drama Romance,Darren Grant
Shine,Drama,Scott Hicks
Don Jon,Romance Comedy Drama,Joseph Gordon-Levitt
High Plains Drifter,Western,Clint Eastwood
Ghost World,Comedy Drama,Terry Zwigoff
Iris,Drama Romance,Richard Eyre
Galaxina,Comedy Science Fiction,William Sachs
Les Choristes,Drama,Christophe Barratier
Mambo Italiano,Comedy Romance,\u00c9mile Gaudreault
Wonderland,Crime Drama Mystery Thriller,James Cox
Do the Right Thing,Drama,Spike Lee
Harvard Man,Drama,James Toback
Le Havre,Drama Comedy,Aki Kaurism\u00e4ki
Irréversible,Drama Thriller Crime Mystery,Gaspar No\u00e9
R100,Comedy Drama,Hitoshi Matsumoto
Rang De Basanti,Drama,Rakeysh Omprakash Mehra
Animals,Drama,Collin Schiffli
Salvation Boulevard,Comedy Thriller Action Drama,George Ratliff
The Ten,Comedy,David Wain
A Room for Romeo Brass,Drama Comedy Foreign,Shane Meadows
Hodejegerne,Thriller Crime,Morten Tyldum
Grabbers,Science Fiction Comedy Thriller Horror,Jon Wright
Saint Ralph,Comedy Drama,Michael McGowan
Miss Julie,Drama,Liv Ullmann
Somewhere in Time,Science Fiction Drama Fantasy Romance,Jeannot Szwarc
Dum Maaro Dum,Drama Action Crime Foreign,Rohan Sippy
Insidious: Chapter 2,Horror Thriller,James Wan
Saw II,Horror,Darren Lynn Bousman
10 Cloverfield Lane,Thriller Science Fiction Drama,Dan Trachtenberg
Jackass: The Movie,Documentary Comedy,Jeff Tremaine
Lights Out,Horror Thriller,David F. Sandberg
Paranormal Activity 3,Horror,Henry Joost
Ouija,Horror,Stiles White
A Nightmare on Elm Street 3: Dream Warriors,Horror Thriller,Chuck Russell
No se Aceptan Devoluciones,Comedy Drama,Eugenio Derbez
Paranormal Activity 4,Horror,Henry Joost
The Robe,Drama,Henry Koster
The Return of the Pink Panther,Comedy,Blake Edwards
Freddy's Dead: The Final Nightmare,Horror Thriller Comedy,Rachel Talalay
Monster,Crime Drama,Patty Jenkins
"20,000 Leagues Under the Sea",Adventure Drama Science Fiction,Richard Fleischer
Paranormal Activity: The Marked Ones,Horror Thriller,Christopher B. Landon
The Elephant Man,Drama History,David Lynch
Dallas Buyers Club,Drama History,Jean-Marc Vall\u00e9e
The Lazarus Effect,Thriller Horror,David Gelb
Memento,Mystery Thriller,Christopher Nolan
Oculus,Horror,Mike Flanagan
Clerks II,Comedy,Kevin Smith
Billy Elliot,Drama Comedy Music,Stephen Daldry
The Way Way Back,Comedy Drama,Nat Faxon
House Party 2,Comedy,Doug McHenry
The Man from Snowy River,Family Drama Action Western Romance,George T. Miller
Doug's 1st Movie,Animation Family Comedy,Maurice Joyce
The Apostle,Drama,Robert Duvall
Mommie Dearest,Drama,Frank Perry
Our Idiot Brother,Comedy Drama,Jesse Peretz
Race,Action Drama,Stephen Hopkins
The Players Club,Drama,Ice Cube
"As Above, So Below",Horror Thriller,John Erick Dowdle
Addicted,Drama Thriller,Bille Woodruff
Eve's Bayou,Drama,Kasi Lemmons
Still Alice,Drama,Richard Glatzer
The Egyptian,History Drama,Michael Curtiz
Nighthawks,Action Crime Thriller,Bruce Malmuth
Friday the 13th Part VIII: Jason Takes Manhattan,Horror Thriller,Rob Hedden
My Big Fat Greek Wedding,Comedy Drama Romance,Joel Zwick
Spring Breakers,Drama Crime,Harmony Korine
Halloween: The Curse of Michael Myers,Horror Thriller,Joe Chappelle
Y tu mamá también,Drama Romance,Alfonso Cuar\u00f3n
Shaun of the Dead,Horror Comedy,Edgar Wright
The Haunting of Molly Hartley,Drama Horror,Mickey Liddell
Lone Star,Drama Mystery Romance,John Sayles
Halloween 4: The Return of Michael Myers,Horror Thriller,Dwight H. Little
April Fool's Day,Horror Mystery,Fred Walton
Diner,Comedy Drama,Barry Levinson
Lone Wolf McQuade,Action Crime Drama Romance Thriller,Steve Carver
Apollo 18,Horror Thriller Science Fiction,Gonzalo L\u00f3pez-Gallego
Sunshine Cleaning,Comedy Drama,Christine Jeffs
No Escape,Action Thriller,John Erick Dowdle
The Beastmaster,Action Fantasy,Don Coscarelli
Solomon and Sheba,Drama History Romance War,King Vidor
Fifty Shades of Black,Romance Comedy,Michael Tiddes
Not Easily Broken,Drama Romance,Bill Duke
A Farewell to Arms,Drama Romance War,Frank Borzage
The Perfect Match,Comedy Romance,Bille Woodruff
Digimon: The Movie,Fantasy Animation Science Fiction Family,Mamoru Hosoda
Saved!,Comedy Drama,Brian Dannelly
Les Invasions barbares,Comedy Crime Drama,Denys Arcand
Robin and Marian,Action Adventure Drama Romance,Richard Lester
The Forsaken,Action Adventure Horror Thriller,J.S. Cardone
Force 10 from Navarone,Action Adventure War Thriller,Guy Hamilton
UHF,Comedy,Jay Levey
Grandma's Boy,Comedy,Nicholaus Goossen
Slums of Beverly Hills,Comedy Drama,Tamara Jenkins
C'era una volta il West,Western,Sergio Leone
Made,Action Comedy Thriller,Jon Favreau
Moon,Science Fiction Drama,Duncan Jones
Keeping Up with the Steins,Comedy,Scott Marshall
Sea Rex 3D: Journey to a Prehistoric World,Documentary,Ronan Chapalain
The Sweet Hereafter,Drama,Atom Egoyan
Des hommes et des dieux,Drama History,Xavier Beauvois
Bottle Shock,Comedy Drama,Randall Miller
Jekyll and Hyde ... Together Again,Comedy Horror Science Fiction,Jerry Belson
Heavenly Creatures,Drama Fantasy,Peter Jackson
90 Minutes in Heaven,Drama,Michael Polish
Everything Must Go,Comedy Drama Romance,Dan Rush
Zero Effect,Comedy Crime Mystery Thriller,Jake Kasdan
The Machinist,Thriller Drama,Brad Anderson
Light Sleeper,Drama Crime,Paul Schrader
Kill the Messenger,Thriller Crime Drama Mystery,Michael Cuesta
Rabbit Hole,Drama,John Cameron Mitchell
Party Monster,Comedy Drama Crime,Fenton Bailey
Green Room,Horror Crime Thriller,Jeremy Saulnier
The Oh in Ohio,Comedy Drama Romance,Billy Kent
Atlas Shrugged Part III: Who is John Galt?,Drama Science Fiction Mystery,James Manera
Bottle Rocket,Comedy Crime Drama,Wes Anderson
Albino Alligator,Crime Drama Thriller,Kevin Spacey
"Gandhi, My Father",Drama Foreign History,Feroz Abbas Khan
Standard Operating Procedure,Documentary,Errol Morris
Out of the Blue,Drama,Dennis Hopper
Tucker and Dale vs Evil,Comedy Horror,Eli Craig
"Lovely, Still",Drama Romance,Nicholas Fackler
Tycoon,Action Drama Romance,Richard Wallace
Desert Blue,Comedy Drama,Morgan J. Freeman
Decoys,Horror Science Fiction Thriller,Matthew Hastings
The Visit,Horror Thriller,M. Night Shyamalan
Redacted,Drama War,Brian De Palma
Fascination,Romance Thriller,Klaus Menzel
Area 51,Horror Thriller Science Fiction,Oren Peli
Mientras duermes,Thriller,Jaume Balaguer\u00f3
The Cottage,Horror Comedy Crime Thriller,Paul Andrew Williams
Dead Like Me: Life After Death,Drama Fantasy Comedy,Stephen Herek
Farce of the Penguins,Comedy Documentary,Bob Saget
Flying By,Drama,
Rudderless,Music Drama Comedy,William H. Macy
Henry & Me,Family Animation,Barrett Esposito
Christmas Eve,Romance Comedy,Mitch Davis
We Have Your Husband,TV Movie Crime Drama Thriller,Eric Bross
Dying of the Light,Thriller Drama,Paul Schrader
Born Of War,Action Thriller War,Vicky Jewson
Capricorn One,Drama Action Thriller Science Fiction,Peter Hyams
Should've Been Romeo,Comedy Drama,Marcia Bennett
Running Forever,Family,
Yoga Hosers,Comedy Fantasy Horror Thriller,Kevin Smith
Navy Seals vs. Zombies,Horror Action,Stanton Barrett
Obsluhoval jsem anglického krále,Comedy Drama,Ji\u0159\u00ed Menzel
Soul Kitchen,Drama Comedy,Fatih Akin
Sling Blade,Drama,Billy Bob Thornton
The Awakening,Horror Thriller,Nick Murphy 
Hostel,Horror,Eli Roth
A Cock and Bull Story,Comedy Drama,Michael Winterbottom
Take Shelter,Thriller Drama,Jeff Nichols
Lady in White,Horror Thriller,Frank LaLoggia
Driving Lessons,Drama Comedy,Jeremy Brock
Let's Kill Ward's Wife,Comedy,Scott Foley
The Texas Chainsaw Massacre 2,Horror,Tobe Hooper
Pat Garrett & Billy the Kid,Western,Sam Peckinpah
Only God Forgives,Drama Thriller Crime,Nicolas Winding Refn
Camping Sauvage,Drama Romance,Christophe Ali
Without Men,Comedy Romance,Gabriela Tagliavini
Dear Frankie,Drama Family,Shona Auerbach
All Hat,Action Comedy Drama Western,Leonard Farlinger
Le Nom des gens,Drama Comedy Romance,Michel Leclerc
Treading Water,Drama Comedy,Analeine Cal y Mayor
Savage Grace,Drama,Tom Kalin
Out of the Blue,Drama,Robert Sarkies
Police Academy,Comedy Crime,Hugh Wilson
The Blue Lagoon,Romance Adventure Drama,Randal Kleiser
Four Weddings and a Funeral,Comedy Drama Romance,Mike Newell
Fast Times at Ridgemont High,Comedy,Amy Heckerling
Moby Dick,Adventure Drama,John Huston
25th Hour,Crime Drama,Spike Lee
Bound,Crime Drama Romance Thriller,Lilly Wachowski
Requiem for a Dream,Crime Drama,Darren Aronofsky
State Fair,Music Romance,Walter Lang
"Tango, no me dejes nunca",Drama Foreign Romance,Carlos Saura
Salvador,Drama,Oliver Stone
Moms' Night Out,Comedy,Jon Erwin
Donnie Darko,Fantasy Drama Mystery,Richard Kelly
Salvando al Soldado Perez,Action Comedy Foreign,Beto G\u00f3mez
Karakter,Drama Foreign History,Mike van Diem
Spun,Comedy Crime Drama,Jonas \u00c5kerlund
Life During Wartime,Comedy Drama,Todd Solondz
친절한 금자씨,Drama Thriller,Park Chan-wook
"Nannerl, la soeur de Mozart",Drama,Ren\u00e9 F\u00e9ret
Mean Machine,Comedy Drama,Barry Skolnick
放‧逐,Action Crime Thriller,Johnnie To
Blackthorn,Adventure Action Western,Mateo Gil
Lilja 4-Ever,Crime Drama,Lukas Moodysson
After.Life,Drama Horror Mystery Thriller,Agnieszka Wojtowicz-Vosloo
Fugly,Comedy Drama Thriller,Kabir Sadanand
One Flew Over the Cuckoo's Nest,Drama,Milo\u0161 Forman
R.L. Stine's Monsterville: The Cabinet of Souls,Comedy Horror,Peter DeLuise
Silent Movie,Comedy,Mel Brooks
Airlift,Thriller Action Drama History,Raja Menon
Anne of Green Gables,Drama Family,Kevin Sullivan
Falcon Rising,Adventure Action,Ernie Barbarash
The Sweeney,Action Drama Crime,Nick Love
Sexy Beast,Crime Drama Thriller,Jonathan Glazer
Snabba Cash,Drama Thriller Crime,Daniel Espinosa
Whale Rider,Drama Family,Niki Caro
Paa,Drama Family Foreign,
Cargo,Thriller Mystery Science Fiction,Ivan Engler
High School Musical,Comedy Drama Family Music TV Movie,Kenny Ortega
Love and Death on Long Island,Drama Romance Foreign,Richard Kwietniowski
Ночной дозор,Fantasy Action Thriller,Timur Bekmambetov
The Crying Game,Romance Crime Drama Thriller,Neil Jordan
Porky's,Comedy,Bob Clark
Survival of the Dead,Horror Science Fiction,George A. Romero
Night of the Living Dead,Horror,George A. Romero
Lost in Translation,Drama,Sofia Coppola
Annie Hall,Comedy Drama Romance,Woody Allen
The Greatest Show on Earth,Action Drama Romance,Cecil B. DeMille
Monster's Ball,Drama Romance,Marc Forster
Maggie,Horror,Henry Hobson
Leaving Las Vegas,Drama Romance,Mike Figgis
Hansel and Gretel Get Baked,Horror Comedy,Duane Journey
The Front Page,Romance Drama Comedy,Billy Wilder
The Boy Next Door,Thriller,Rob Cohen
Trapeze,Drama,Carol Reed
The Kids Are All Right,Comedy Drama,Lisa Cholodenko
They Live,Action Horror Science Fiction Thriller,John Carpenter
The Great Escape,Adventure Drama History Thriller War,John Sturges
What the #$*! Do We (K)now!?,Documentary,William Arntz
The Last Exorcism Part II,Horror Thriller,Ed Gass-Donnelly
Boyhood,Drama,Richard Linklater
Scoop,Comedy Mystery,Woody Allen
The Wash,Action Comedy,DJ Pooh
3 Strikes,Action Comedy Romance,DJ Pooh
The Cooler,Drama Romance,Wayne Kramer
The Misfits,Drama Action Romance,John Huston
The Night Listener,Drama Thriller,Patrick Stettner
The Jerky Boys,Comedy Crime,James Melkonian
El orfanato,Horror Drama Thriller,Juan Antonio Bayona
A Haunted House 2,Comedy Horror,Michael Tiddes
The Rules of Attraction,Comedy Drama Romance,Roger Avary
Topaz,Action Drama Mystery Thriller,Alfred Hitchcock
Let's Go to Prison,Comedy Crime,Bob Odenkirk
Four Rooms,Crime Comedy,Allison Anders
Secretary,Comedy Drama Romance,Steven Shainberg
The Real Cancun,Documentary,Rick de Oliveira
Talk Radio,Drama,Oliver Stone
Waiting for Guffman,Music Comedy,Christopher Guest
Love Stinks,Comedy Romance,Jeff Franklin
You Kill Me,Comedy Crime Thriller Romance,John Dahl
Thumbsucker,Comedy Drama,Mike Mills
Red State,Horror Action Thriller,Kevin Smith
Mirrormask,Fantasy,Dave McKean
Samsara,Drama Documentary,Ron Fricke
The Barbarians,Fantasy Adventure,Ruggero Deodato
The Art of Getting By,Drama Romance,Gavin Wiesen
Zipper,Thriller Drama,Mora Stephens
Poolhall Junkies,Comedy Drama Thriller,Mars Callahan
The Loss of Sexual Innocence,Drama,Mike Figgis
Holy Motors,Drama Fantasy,Leos Carax
Joe,Drama,David Gordon Green
Shooting Fish,Crime Comedy Romance,Stefan Schwartz
Prison,Crime Drama Horror Thriller,Renny Harlin
Psycho Beach Party,Comedy,Robert Lee King
The Big Tease,Comedy Foreign,Kevin Allen
"Guten Tag, Ramón",Drama,Jorge Ram\u00edrez Su\u00e1rez
Trust,Crime Drama Thriller,David Schwimmer
An Everlasting Piece,Comedy Crime,Barry Levinson
Among Giants,Comedy Romance,Sam Miller
Adore,Drama,Anne Fontaine
The Velocity of Gary,Drama Romance,Dan Ireland
Los lunes al sol,Drama,Fernando Le\u00f3n de Aranoa
Stake Land,Drama Horror Action Thriller Science Fiction,Jim Mickle
The Last Time I Committed Suicide,Drama,Stephen T. Kay
Praia do Futuro,Drama,Karim A\u00efnouz
Another Happy Day,Comedy Drama,Sam Levinson
A Lonely Place to Die,Adventure Action Thriller Crime,Julian Gilbey
Nothing,Comedy Fantasy Science Fiction,Vincenzo Natali
Географ глобус пропил,Drama,Aleksandr Veledinskiy
1776,Drama Comedy History Music,Peter H. Hunt
Inescapable,Thriller Romance,Ruba Nadda
Hell's Angels,Action Drama History,James Whale
Purple Violets,Comedy Drama Romance,Edward Burns
The Veil,Horror,Phil Joanou
The Loved Ones,Horror,Sean Byrne
The Helpers,Horror,Chris Stokes
How to Fall in Love,Comedy Romance TV Movie,Mark Griffiths
The Perfect Wave,Romance Adventure Drama,Bruce MacDonald
A Man for All Seasons,Drama History,Fred Zinnemann
Network,Drama,Sidney Lumet
Gone with the Wind,Drama Romance War,Victor Fleming
Desert Dancer,Drama,Richard Raymond
Major Dundee,War Western,Sam Peckinpah
Annie Get Your Gun,Action Comedy Music Romance Western,George Sidney
Four Lions,Comedy Crime Drama,Chris Morris
Casa de Areia,Drama,Andrucha Waddington
Defendor,Drama Action Comedy Crime,Peter Stebbings
The Pirate,Music Romance,Vincente Minnelli
The Good Heart,Drama Comedy Romance,Dagur K\u00e1ri
The History Boys,Comedy Drama,Nicholas Hytner
Midnight Cowboy,Drama,John Schlesinger
The Full Monty,Comedy,Peter Cattaneo
Airplane!,Comedy,Jerry Zucker
Chain of Command,Thriller Adventure Action,Kevin Carraway
Friday,Comedy,F. Gary Gray
Menace II Society,Drama Action Crime,Albert Hughes
Creepshow 2,Horror,Michael Gornick
The Ballad of Cable Hogue,Action Comedy Western,Sam Peckinpah
In Cold Blood,Crime Drama,Richard Brooks
The Nun's Story,Drama,Fred Zinnemann
Harper,Action Drama Thriller Crime Mystery,Jack Smight
Frenzy,Crime Drama Mystery Thriller,Alfred Hitchcock
The Witch,Mystery Horror,Robert Eggers
I Got the Hook Up,Action Comedy,Michael Martin
She's the One,Comedy Romance,Edward Burns
Gods and Monsters,Drama,Bill Condon
El secreto de sus ojos,Crime Drama Mystery Romance,Juan Jos\u00e9 Campanella
Train,Horror Thriller,Gideon Raff
Evil Dead II,Horror Comedy Fantasy,Sam Raimi
Pootie Tang,Action Comedy,Louis C.K.
Sharknado,TV Movie Horror,Anthony C. Ferrante
La otra conquista,Drama Foreign,Salvador Carrasco
Trolljegeren,Fantasy Horror,Andr\u00e9 \u00d8vredal
Ira & Abby,Comedy Romance,Robert Cary
Winter Passing,Comedy Drama,Adam Rapp
D.E.B.S.,Action,Angela Robinson
The Masked Saint,Crime Action,Warren P. Sonoda
The Betrayed,Crime Drama Mystery Thriller,Amanda Gusack
Taxman,Action Crime Comedy Thriller,Avi Nesher
The Secret,Drama,Nick Murphy 
2:13,Horror Thriller Mystery,Charles Adelman
"Batman: The Dark Knight Returns, Part 2",Action Animation,Jay Oliva
Time to Choose,Documentary,Charles Ferguson
In the Name of the King III,Action Adventure Drama Fantasy,Uwe Boll
Wicked Blood,Action Drama Thriller,Mark Young
Dawn Patrol,Drama,"Daniel Petrie, Jr."
Lords of London,Crime Mystery Thriller,Antonio Simoncini
High Anxiety,Comedy Music,Mel Brooks
La Marche de l'empereur,Documentary Family,Luc Jacquet
Margin Call,Thriller Drama,J.C. Chandor
August,Drama,Eldar Rapaport
Choke,Comedy Drama,Clark Gregg
Whiplash,Drama,Damien Chazelle
Cidade de Deus,Drama Crime,Fernando Meirelles
Human Traffic,Comedy Drama,Justin Kerrigan
To Write Love on Her Arms,Drama Music,Nathan Frankowski
The Dead Girl,Mystery Drama Crime Thriller,Karen Moncrieff
Jagten,Drama,Thomas Vinterberg
A Christmas Story,Comedy Family,Bob Clark
Bella,Drama Romance,Alejandro Monteverde
Class of 1984,Action Drama Horror Crime Thriller,Mark L. Lester
Opposite Sex,Comedy,Jonathan Silverman
Dreaming of Joseph Lees,Romance Drama,Eric Styles
Entre les murs,Drama,Laurent Cantet
Rosemary's Baby,Horror Drama Mystery,Roman Polanski
The Man Who Shot Liberty Valance,Western,John Ford
Adam,Drama Romance,Max Mayer
"María, llena eres de gracia",Drama Thriller Crime,Joshua Marston
Beginners,Drama Romance Comedy,Mike Mills
Feast,Action Comedy Horror,John Gulager
Animal House,Comedy,John Landis
Goldfinger,Adventure Action Thriller,Guy Hamilton
Antiviral,Science Fiction Horror,Brandon Cronenberg
It's a Wonderful Life,Drama Family Fantasy,Frank Capra
Trainspotting,Drama Crime,Danny Boyle
The Original Kings of Comedy,Comedy,Spike Lee
Paranormal Activity 2,Horror Thriller,Tod Williams
Waking Ned,Comedy Romance,Kirk Jones
Bowling for Columbine,Documentary,Michael Moore
归来,Drama,Zhang Yimou
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,Jack Sholder
A Room with a View,Drama Romance,James Ivory
The Purge,Science Fiction Horror Thriller,James DeMonaco
Sinister,Horror Thriller Mystery,Scott Derrickson
Martin Lawrence Live: Runteldat,Comedy,Martin Lawrence
Cat on a Hot Tin Roof,Drama Romance,Richard Brooks
Beneath the Planet of the Apes,Adventure Science Fiction Mystery,Ted Post
Air Bud,Comedy Family Drama,Charles Martin Smith
Pokémon 3: The Movie,Adventure Fantasy Animation Action Family,Michael Haigney
Friday the 13th Part VI: Jason Lives,Horror Mystery Thriller,Tom McLoughlin
The Bridge on the River Kwai,Drama History War,David Lean
Spaced Invaders,Comedy Family Science Fiction,Patrick Read Johnson
Family Plot,Comedy Crime Thriller,Alfred Hitchcock
The Apartment,Comedy Drama Romance,Billy Wilder
Jason Goes to Hell: The Final Friday,Fantasy Horror Thriller,Adam Marcus
Torn Curtain,Mystery Thriller,Alfred Hitchcock
Dave Chappelle's Block Party,Comedy Documentary Music,Michel Gondry
Slow West,Romance Thriller Western,John Maclean
Krush Groove,Drama Music Romance,Michael Schultz
Next Day Air,Action Comedy Crime,Benny Boom
Elmer Gantry,Drama,Richard Brooks
Judgment at Nuremberg,Drama History,Stanley Kramer
Trippin',Comedy Romance,David Raynr
Red River,Western,Howard Hawks
Phat Girlz,Comedy Romance,Nnegest Likk\u00e9
Before Midnight,Romance Drama,Richard Linklater
Teen Wolf Too,Comedy Fantasy Family,Christopher Leitch
Phantasm II,Action Horror Science Fiction Thriller,Don Coscarelli
Woman Thou Art Loosed,Drama,Michael Schultz
Real Women Have Curves,Comedy Drama,Patricia Cardoso
Water,Drama Foreign Romance,Deepa Mehta
East Is East,Comedy,Damien O'Donnell
Whipped,Comedy Romance,Peter M. Cohen
Kama Sutra - A Tale of Love,Drama History Romance,Mira Nair
Please Give,Comedy Drama,Nicole Holofcener
Willy Wonka & the Chocolate Factory,Family Fantasy,Mel Stuart
Warlock: The Armageddon,Fantasy Horror Science Fiction,Anthony Hickox
8 Heads in a Duffel Bag,Comedy Crime,Tom Schulman
Days of Heaven,Drama Romance,Terrence Malick
Thirteen Conversations About One Thing,Drama,Jill Sprecher
Jawbreaker,Comedy,Darren Stein
Basquiat,Drama History,Julian Schnabel
Frances Ha,Comedy Drama,Noah Baumbach
Tsotsi,Crime Drama,Gavin Hood
Happiness,Comedy Drama,Todd Solondz
DysFunktional Family,Comedy Documentary,George Gallo
Tusk,Comedy Horror,Kevin Smith
올드보이,Drama Thriller Mystery Action,Park Chan-wook
Letters to God,Action Drama Family Thriller,David Nixon
Hobo with a Shotgun,Action Comedy Thriller,Jason Eisener
Compadres,Action Comedy,Enrique Begn\u00e9
Freeway,Comedy Drama Thriller,Matthew Bright
Love's Abiding Joy,TV Movie Action Drama Family,Michael Landon Jr.
Fish Tank,Drama,Andrea Arnold
Damsels in Distress,Comedy Romance,Whit Stillman
Creature,Horror Science Fiction Thriller,Stuart Gillard
Bachelorette,Comedy Romance,Leslye Headland
Brave New Girl,Drama Music Family,Bobby Roth
Tim and Eric's Billion Dollar Movie,Comedy,Tim Heidecker
Sommersturm,Comedy Drama,Marco Kreuzpaintner
Fort McCoy,War Drama History,Michael Worth
Chain Letter,Horror Thriller,Deon Taylor
Just Looking,Drama Comedy,Jason Alexander
The Divide,Science Fiction,Xavier Gens
The Eclipse,Drama Horror Romance,Conor McPherson
Demonic,Thriller Horror,Will Canon
My Big Fat Independent Movie,Comedy,Philip Zlotorynski
The Deported,Comedy Family,Lance Kawas
Tanner Hall,Drama,Francesca Gregorini
Open Road,Action Drama Thriller,M\u00e1rcio Garcia
They Came Together,Comedy,David Wain
